#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
2016	10	14	0	0	87	0	0	0	0	0	0	0.1041226	0.082136	0.0705646	0.0244419	0.02045	0.0409	0.0736455	0.0608655	0.0409	0.0409	0.0409	0.0510822	0.085516	0.0775829	0.0615859	0.0256261	0.049491	0.0492896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	14	0	0	72	0	0	0	0	0	0	0.0630633	0.0522568	0.1182568	0.0840845	0.0784113	0.0673386	0.053816	0.0420422	0.0210211	0	0.0210211	0.0420422	0.0630633	0.0434504	0.0471877	0.0536667	0.0704697	0.0788081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	10	14	0	0	86	0	0	0	0	0	0	0	0	0.0248668	0.0248668	0.061873	0.0565817	0.0606313	0.102231	0.1183537	0.0776825	0.1042205	0.0652796	0	0	0.0532253	0.0497337	0.0512531	0.0994674	0.0497337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	10	14	0	0	92	0	0	0	0	0	0	0.075904	0.1034843	0.0856037	0.0454447	0.0188872	0.0188872	0.0377745	0.0536112	0.0599223	0.0760085	0.1000832	0.0597673	0.0554316	0.0392052	0.0188872	0.0566617	0.0188872	0.0566617	0.0188872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	10	14	0	0	230	0	0	0	0	0	0	0.0297479	0.0309819	0.0297479	0.0493241	0.0810406	0.0687578	0.0500263	0.0506661	0.0846978	0.065043	0.052155	0.087787	0.0746049	0.0526139	0.0550527	0.0782571	0.0297479	0.0297479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1989	4	16	0	0	71	0	0	0	0	0.0218695	0	0.0141087	0.2172319	0.3867561	0.243987	0.0349888	0.0218616	0.0218034	0.0030116	0.0096247	0.0029534	0.0029534	0	0	0	0	0	0	0.01885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1990	4	16	0	0	33	0	0	0	0	0	0	0	0	0.092645	0.5199342	0.084189	0.1057835	0.0654016	0.0796987	0.0114674	0	0.0134035	0	0	0.0134035	0.0140736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	4	16	0	0	80	0	0	0.0054335	0.0516414	0.0686769	0.0046801	0	0.1218687	0.3421152	0.196999	0.1131368	0.0381564	0.0043898	0.0199982	0.0016099	0.0256958	0	0.0055982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	4	16	0	0	147	0	0	0	0	0	0.0205933	0.0276427	0.150856	0.3383681	0.2177471	0.0539708	0.0739089	0.0378606	0.0322035	0.0195822	0.0024932	0.016354	0.0024932	0	0.0059263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	4	16	0	0	158	0	0	0	0	0.0097715	0.0048857	0.0072309	0.0506813	0.1132186	0.2585093	0.2427338	0.1813148	0.0630585	0.0306824	0.0144618	0.0072309	0.0162206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	4	16	0	0	28	0	0	0	0	0.0797133	0.0869599	0.0909793	0	0.0660121	0.2389638	0.1760322	0.033006	0.0177988	0.2105346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	4	16	0	0	57	0	0	0.0029974	0.0685656	0.182467	0.1337592	0.0112403	0.0606974	0.0989143	0.129388	0.0635075	0.0586992	0.0571289	0.0659429	0.0666923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	4	16	0	0	99	0	0	0	0.0015548	0.0034984	0	0.0097178	0.0155484	0.1544475	0.2231089	0.2053685	0.1102641	0.0404258	0.0465049	0.0194355	0.0501436	0.0357613	0.0309672	0.0143823	0.0194355	0	0.0194355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1997	4	16	0	0	41	0	0.0049727	0.0024742	0	0.0024863	0.0328863	0.0476314	0.0248777	0.144653	0.0838873	0.0998228	0.2101317	0.1512612	0.0753576	0.0376788	0.0376788	0	0.0065213	0	0	0	0.0376788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998	4	16	0	0	43	0	0	0	0.0023366	0	0	0	0.0588464	0.1529941	0.1459122	0	0.1287861	0.0897825	0.0681901	0.0386899	0.113268	0.0650604	0.045902	0.0603039	0	0.0299275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	4	16	0	0	52	0	0	0.0274679	0.0183119	0.0322869	0.0183119	0	0	0.0283225	0.2513909	0.0907051	0.1744517	0.1887757	0.0417512	0.0175795	0.0389434	0.009156	0.009156	0.0533895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	4	16	0	0	152	0	0	0.0121937	0.0462297	0.05109	0.0573979	0.0191412	0.0156873	0.0740757	0.1860818	0.2008067	0.0970933	0.0526229	0.0939708	0.0518122	0.0078094	0.00322	0.0128801	0.0114471	0	0.00322	0	0	0	0.00322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	4	16	0	0	328	0	0	0.0061978	0.0089039	0.0072032	0.0005002	0.0005002	0.0667308	0.153128	0.211314	0.2511544	0.1477626	0.0584448	0.0219071	0.0280354	0.0116896	0.0173585	0.004602	0	0	0.0008658	0.0037016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	4	16	0	0	316	0	0	0.0160638	0.0230633	0.0535006	0.158552	0.0785902	0.0075047	0.0476785	0.0909432	0.1172997	0.1063251	0.1127543	0.0864762	0.0356883	0.0289134	0.0099942	0.0028906	0.0143086	0.0013918	0.0066697	0.0013918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	4	16	0	0	357	0	0	0.0003226	0.0020168	0.0067397	0.0036617	0.0470508	0.1309671	0.2154772	0.1863337	0.090188	0.0329214	0.0438407	0.0769837	0.0558714	0.0394561	0.0175665	0.0226477	0.0005807	0.0107109	0.0020809	0.0042586	0.0052909	0.0050328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	4	16	0	0	102	0	0	0	0.0041638	0	0	0	0.049559	0.1106513	0.1352999	0.2091246	0.1658485	0.1140015	0.1102722	0.0252698	0.0126349	0.0249827	0.0149322	0	0	0.0232597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	4	16	0	0	77	0	0	0.0245013	0.0038019	0.0928251	0.0688571	0.0040131	0.0156301	0.0827975	0.2341704	0.1264492	0.0468904	0.0819526	0.1533443	0.0502633	0	0.0145036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	4	16	0	0	70	0	0.0036884	0	0.0016765	0.0016765	0.0124064	0	0.017436	0.0901978	0.198167	0.101263	0.0677322	0.1231698	0.1394881	0.0553258	0.0821504	0.052308	0.0124064	0.017436	0.017436	0.0030178	0	0	0.0030178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	4	16	0	0	62	0	0	0.09558	0.0644723	0.1132982	0.0633322	0.0467817	0.031843	0.1908615	0.1359421	0.0927772	0.0752438	0	0.0212287	0.0106143	0.0063686	0.0023587	0	0	0.0106143	0	0	0	0.0386834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	4	16	0	0	70	0	0	0	0.0043228	0.0185519	0.0217939	0.0199928	0.0556556	0.2667507	0.2424352	0.1304035	0.0783501	0.0347622	0.0563761	0.0048631	0.0295389	0.0313401	0	0.0048631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	4	16	0	0	721	0	0	0.0022166	0.0028898	0.0055662	0.0072081	0.031476	0.1910892	0.2329997	0.1470687	0.1146404	0.0782303	0.0762682	0.0309917	0.0410239	0.0163702	0.0102539	0.0053938	0.0004433	0.0048109	0.0010591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	4	16	0	0	79.86538	0	0.3206261	0.002731	0.0852062	0.0166589	0	0	0.0081929	0.0409645	0.1054154	0.0684563	0.24251	0.0691845	0.0400542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	4	16	0	0	187	0	0	0	0	0.0057723	0.0190807	0.0165152	0.1052913	0.2521112	0.2509888	0.1446018	0.0700962	0.0618386	0.0283805	0.024853	0.0180652	0.0024051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	4	16	0	0	63	0	0	0.0100028	0.0629341	0.3821895	0.1041956	0.0903029	0	0	0	0.0433454	0.0572381	0.1153098	0.0889136	0.0455682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	4	16	0	0	208	0	0	0	0.01714	0.03348	0.0198788	0.0697603	0.1989722	0.2646706	0.1851863	0.0327415	0.0475736	0.0404037	0.0135705	0.0119088	0.0142782	0.0085854	0.0079392	0.0119088	0	0	0.0180324	0	0.0039696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	4	16	0	0	355	0	0	0	0.0020706	0.01388	0.0120379	0.002142	0.0481658	0.1474532	0.1251767	0.2252924	0.1888503	0.0967028	0.0462237	0.0407688	0.0191492	0.0144797	0.0131517	0.0044553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	4	16	0	0	191	0	0	0.0104691	0.0313653	0.1004027	0.0662204	0.0143793	0.02447	0.0703407	0.1206682	0.1686926	0.0923722	0.0930869	0.0499491	0.0402368	0.0416242	0.0300619	0.0162713	0.0054238	0.0054238	0	0.0108475	0.0054238	0.0022704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	4	16	0	0	68	0	0	0.0315518	0.0328903	0.0955158	0.1067024	0	0.1256334	0.2061383	0.1568984	0.1051726	0.0123339	0.0212257	0.0502916	0.0401568	0.0154891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	4	16	0	0	640	0	0	0.0145513	0.0102167	0.0273415	0.0214469	0.0475812	0.1658225	0.2147153	0.2792796	0.0884928	0.035099	0.0388102	0.0208657	0.0106564	0.0082121	0.0019226	0.0068112	0.0004024	0	0.0034056	0	0.0009613	0.0034056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	4	16	0	0	748	0	0	0.0001368	0.000513	0.0017784	0.0011742	0.0076838	0.0759573	0.2138437	0.2159965	0.1290285	0.1350507	0.1084937	0.0680141	0.0215522	0.0189074	0	0	0	0	0.0018696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	4	16	0	0	168	0	0.0028073	0.009939	0.0377922	0.0402592	0.0063802	0.0063802	0	0.0068906	0.0425773	0.0829428	0.2309214	0.2441497	0.1282637	0.048277	0.0123776	0.0471711	0.0288386	0.0022969	0.0162483	0.005487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	4	20	0	0	29	0	0	0	0.0018649	0.0084788	0.0004034	0	0.0009945	0	0.0410748	0.1551149	0.0685343	0.1934515	0.2491158	0.0834939	0.0855417	0.0125606	0.0065682	0.0224666	0.0190572	0.0091326	0.0141191	0.0194858	0.0042122	0.0020004	0.002329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	4	20	0	0	37	0	0	0.0035363	0.1599374	0.3207316	0.0208699	0.0003929	0.0003929	0.0107686	0.0449824	0.1018033	0.0644209	0.0143948	0.0196609	0.0422703	0.0395357	0.0228229	0.0600309	0.001178	0.0104567	0.0206611	0.0065759	0.005454	0.0183481	0.0107744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	4	20	0	0	26	0	0	0	0.003427	0.0009889	0.0009889	0	0.0055166	0	0.011797	0.1299527	0.036919	0.0855251	0.367366	0.054461	0.058664	0.084845	0.0400488	0.0526169	0.0448736	0.0055166	0	0.0055166	0.004904	0.0060724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	4	20	0	0	39	0	0	0.0025298	0.0193235	0.1024078	0.0088896	0	0	0.0074406	0.0187791	0.0156496	0.0151649	0.0568328	0.2417082	0.2372165	0.0952612	0.04995	0.0311822	0.0258006	0.0131107	0.0235559	0.0116254	0.0192	0.0043718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	4	20	0	0	37	0	9.00E-04	0.0281886	0.3094863	0.2021824	0.0632864	0.0086226	0	0.0026491	0.0078399	0.041566	0.0690408	0.0196217	0.0448296	0.0464943	0.0912093	0.0315926	0.0182154	0.0070076	0.0025614	0	0.0026491	0.0010284	0.0010284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	4	20	0	0	39	0	0	3.14E-05	0.0002449	0.0007833	0.0003633	0.0008239	0.0432852	0.3183819	0.4846596	0.0942825	0.0130886	0.001578	0.0017845	0.0143359	0.0041778	0.0037222	0.0045325	0.0024027	0.0023078	0.0057461	0.0017991	0.0008365	0.0007125	0.0001198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	4	20	0	0	32	0	0	0	3.17E-05	6.40E-06	2.35E-05	0	0.0004323	0.0044329	0.0255022	0.0769686	0.4041109	0.3446576	0.1105003	0.0181495	0.0027446	0.0012391	0.0039624	0.0024345	0.0026944	0.0006035	0.000744	0.0001776	0.0005128	7.12E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	4	20	0	0	34	0	0	0	6.23E-05	3.52E-05	0	0	4.03E-05	8.10E-05	0.0001884	0.0056473	0.0090892	0.0077254	0.2244129	0.396023	0.1853173	0.1375317	0.014501	0.0059442	0.0054183	0.0031478	0.0006868	0.0027984	0.0011671	0.0001822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	4	20	0	0	41	0	0	0.0001347	0.0004382	3.92E-05	0.0005317	0	0	9.00E-05	0.0041943	0.0282167	0.0301896	0.0047129	0.041738	0.1337468	0.2786066	0.2570041	0.1762913	0.0298173	0.0096616	0.0023749	0.0009324	0.0002845	0.0004329	0.000461	0.0001012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	4	20	0	0	38	0	0	0	0	0.0024414	0	0.0045518	0.0561601	0.2394155	0.2361605	0.0987742	0.0204154	0.0080567	0.0617236	0.0509225	0.0335953	0.0356768	0.0638719	0.0605558	0.0095844	0.0097884	0.0083056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	4	20	0	0	32	0	0	0	0	3.44E-05	0	0	0.000863	0.004608	0.0449087	0.0679145	0.2527318	0.3605435	0.0948931	0.0122034	0.0117986	0.0147973	0.050532	0.0391894	0.0283416	0.0102794	0.0024801	0.0032398	0.0004384	0.0002027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	4	20	0	0	29	0	0	0	0	0	0	0	0	6.34E-05	0.0028982	0.0042857	0.050774	0.0671412	0.3358131	0.3463544	0.0974983	0.0319822	0.0086889	0.0246926	0.0205684	0.0037442	0.0030623	0.0022791	0.0001539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	4	20	0	0	36	0	0	0	0.0001308	0.0002064	0.0001214	0.0047249	0.0057012	0.0170488	0.0107844	0.0073181	0.0158823	0.0358532	0.0556256	0.1510282	0.3607187	0.2123354	0.0573627	0.0291947	0.0137434	0.0150636	0.0034463	0.0031258	0.0005841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	4	21	0	0	22	0	0	0.1217697	0.2488955	0.0170714	0	0.0188447	0.0170027	0.1428937	0.3414714	0.0188447	0.0376894	0.0170027	0	0.0185141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	4	21	0	0	18	0	0	0	0.2636845	0.0789833	0.0397013	0.0775155	0.0750891	0.2223715	0.0811468	0.077166	0.0391422	0.0451999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	4	21	0	0	12	0	0.0477363	0.0512442	0.5521215	0.0450103	0	0.0450103	0	0	0	0.0483386	0	0.0815077	0.0838623	0.0451688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	4	21	0	0	13	0	0	0.1249539	0.0460629	0	0.0460629	0	0.2445275	0.1254714	0.3783636	0.0345578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	4	21	0	0	12	0	0	0.1328051	0.1775474	0.4198521	0.1354568	0.0453652	0	0	0	0	0.0889734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	4	21	0	0	19	0	0	0.2586734	0.15708	0	0	0	0.1537226	0.1765855	0.0815633	0	0	0	0.0423201	0	0.0811854	0	0.0488696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	4	21	0	0	6	0	0	0.0960455	0.2279552	0	0	0.1206112	0	0.1433736	0	0.2867473	0	0	0.1252672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	4	21	0	0	18	0	0	0.1190319	0.2725167	0.1418064	0	0.0580668	0	0.0559086	0.06646	0.06646	0.0585807	0.1166475	0.0445213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	4	21	0	0	15	0	0.0281762	0.0396756	0.0678517	0.1675675	0	0	0.0724567	0.0774432	0.0774432	0	0.0721315	0.3551939	0	0	0	0	0.0420604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	4	21	0	0	4	0	0	0	0	0	0	0	0	0	0.9122257	0.0877743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	4	21	0	0	9	0	0	0	0.0169473	0	0.0152908	0.0152908	0.2767419	0.227684	0.339502	0.0764539	0.0320894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	4	21	0	0	4	0	0	0.3552129	0.6447871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	4	21	0	0	21	0	0.0170538	0.0596823	0.0508698	0.0183148	0.0331468	0.1011519	0.2575085	0.0909236	0.0672616	0.1055855	0.0649361	0.066032	0.0169637	0.0337559	0.0168136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	10	22	0	0	15	0	0.0026029	0.0026029	0	0	0.0027517	0.0759092	0.151984	0.0731744	0.1999009	0.1049906	0.0561197	0.062594	0.1078901	0.0559378	0.028767	0.0259493	0.0131056	0.0052969	0	0.0097199	0.0104116	0.0026029	0.0038443	0.0038443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	10	22	0	0	25	0	0.004109	0.1419214	0.0602645	0.0042543	0	0.0014454	0.0283305	0.0395928	0.0157358	0.0014454	0	0.0076772	0.0191384	0.0035039	0.1507736	0.1513505	0.1592823	0.0778024	0.0182135	0.0630928	0.0158635	0.0036774	0.0249491	0.0075763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	10	22	0	0	18	0	0	0.0911562	0.1143992	0	0.0069978	0	0	0.0391355	0.0825953	0.181565	0.0775144	0.1885629	0.0139956	0.0220701	0.0066195	0.0069978	0.0069978	0.0150722	0.0141556	0.0819806	0.0134206	0.0075361	0.0150722	0.0141556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	10	22	0	0	20	0	0	0.0574055	0.0245423	0	0	0	0.0263646	0	0	0.0170474	0.0283927	0.0657206	0.1478712	0.0821507	0	0.0398144	0.0164301	0.0274228	0.100315	0.011022	0.0249391	0.1419634	0.1775761	0	0.011022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	10	22	0	0	31	0.0124426	0.0479215	0.2318245	0.0425733	0.0034992	0	0	0.0074446	0.0134219	0.0656566	0.006186	0.0058911	0.0355356	0.0983435	0.0079675	0.0365417	0.1279717	0.0225449	0.1372008	0.0306844	0.023418	0.0079675	0.0055303	0.0214653	0.0079675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	10	22	0	0	35	0	0	0	9.70E-06	0	8.79E-05	0.004171	0.3068299	0.4252843	0.2511326	0.0089092	0.0007402	0.000115	0.0001168	0.0001374	0.0001393	0.0001674	2.19E-05	0.0006804	0.000508	0.0003684	0.0001123	0.0002336	0.0001657	6.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	10	22	0	0	34	0	0.009791	0.0473169	0.0094249	0	0.0001414	0	0.0013123	0.0055783	0.0094102	0.2123717	0.5290401	0.1047352	0.0127357	0.0032479	0.000576	0.0016914	0.0015935	0.0076115	0.0200598	0.0104043	0.0038524	0.0034639	0.0051889	0.0004529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	10	22	0	0	27	0	0	0.0027237	0.0067675	0.0005266	0	0	0.0022253	0.0003463	0.00036	0.0022582	0.017612	0.0826703	0.2727417	0.3432678	0.2043441	0.0389654	0.0063092	0.0047962	0.0035159	0.0026724	0.0056307	0.0016672	0.0005995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	10	22	0	0	23	0.0006298	0.0012596	0.0018127	0.0196627	0.0030723	0	0	0	0.0006298	0.0009176	0	0	0.0197345	0.0656829	0.1165111	0.2428872	0.368068	0.0877405	0.0377875	0.0195325	0.0036933	0.0085652	0	0.0018127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	10	22	0	0	26	0	0.0007708	0	0	0	0	0.0005269	0.0101253	0.0074713	0.0047843	0.0014561	0	0.0042812	0.0011931	0.0016484	0.0378446	0.0992775	0.2643344	0.1499613	0.2603656	0.0977187	0.0234815	0.0313675	0.0025138	0.0008776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	10	22	0	0	34	0	0	0.0003958	0.0009496	0	0.0012704	0.0191043	0.1084213	0.0658067	0.0883665	0.1663658	0.1645193	0.0420627	0.0152203	0.0060636	0.0066905	0.0292282	0.0540116	0.1063047	0.084484	0.019414	0.0182931	0.000684	0.0023436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	10	22	0	0	29	0.0003138	0.0018524	0.0009603	0.0024363	0.0011599	0	0.0006742	0.000478	0.0006189	0.0014397	0.0153665	0.0844007	0.0659177	0.1892863	0.182918	0.0643895	0.0692498	0.006597	0.0923493	0.0781822	0.0531916	0.0238426	0.0523036	0.0117087	0.000363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
