#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
2005 1 5 197 0.3
2006 1 5 124 0.3
2007 1 5 192 0.3
2008 1 5 216 0.3
2009 1 5 471 0.3
2010 1 5 1255 0.3
2011 1 5 293 0.3
2012 1 5 878 0.3
2013 1 5 300 0.3
2014 1 5 576 0.3
2015 1 5 601 0.3
2016 1 5 586 0.3
2017 1 5 510 0.3
2018 1 5 641 0.3
2019 1 5 454 0.3
2020 1 5 517 0.3
2021 1 5 1526 0.3
#_South_Rec_1
1989 1 6 1471 0.3
1990 1 6 1428 0.3
1991 1 6 1595 0.3
1992 1 6 1669 0.3
1993 1 6 1682 0.3
1994 1 6 429 0.3
1995 1 6 1170 0.3
1996 1 6 693 0.3
1997 1 6 2479 0.3
1998 1 6 760 0.3
1999 1 6 628 0.3
2000 1 6 1150 0.3
2001 1 6 900 0.3
2002 1 6 1931 0.3
2003 1 6 1421 0.3
2004 1 6 330 0.3
2005 1 6 150 0.3
2006 1 6 466 0.3
2007 1 6 566 0.3
2008 1 6 286 0.3
2009 1 6 960 0.3
2010 1 6 242 0.3
2011 1 6 282 0.3
2012 1 6 465 0.3
2013 1 6 188 0.3
2014 1 6 209 0.3
2015 1 6 280 0.3
2016 1 6 340 0.3
2017 1 6 779 0.3
2018 1 6 593 0.3
2019 1 6 573 0.3
2020 1 6 567 0.3
2021 1 6 1507 0.3
#_North_Rec_2
1989 2 7 989 0.3
1990 2 7 502 0.3
1991 2 7 277 0.3
1992 2 7 166 0.3
1993 2 7 252 0.3
1994 2 7 475 0.3
1995 2 7 161 0.3
1996 2 7 192 0.3
1997 2 7 357 0.3
1998 2 7 123 0.3
1999 2 7 256 0.3
2000 2 7 651 0.3
2001 2 7 578 0.3
2002 2 7 479 0.3
2003 2 7 602 0.3
2004 2 7 358 0.3
2005 2 7 389 0.3
2006 2 7 635 0.3
2007 2 7 697 0.3
2008 2 7 618 0.3
2009 2 7 1501 0.3
2010 2 7 1648 0.3
2011 2 7 895 0.3
2012 2 7 1163 0.3
2013 2 7 1650 0.3
2014 2 7 2570 0.3
2015 2 7 3685 0.3
2016 2 7 4354 0.3
2017 2 7 3313 0.3
2018 2 7 1976 0.3
2019 2 7 2682 0.3
2020 2 7 2358 0.3
2021 2 7 1964 0.3
#_South_Rec_2
1989 2 8 4000 0.3
