#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
15 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
2015 10 4 0 1 404 0 0 0 0 0 0 0.1346472 0.3139198 0.2016536 0.0568649 0.063897 0.0339439 0.0910136 0.0298327 0.0057473 0.018621 0.009182 0.0047195 0.0047195 0.0089251 0 0.0044626 0.0089251 0.0044626 0.0044626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2015 10 4 0 2 8 0 0 0 0 0 0 0 0 0 0 0 0.0006293 0.0629333 0.145245 0.2735363 0.2379407 0.142058 0.0638115 0.0407622 0.0236312 0.0094525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2016 10 4 0 1 349 0 0 0 0 0 0 0.0429311 0.1887118 0.3091022 0.152668 0.0683936 0.0392917 0.0470232 0.048049 0.0256987 0.0132759 0.0161979 0.0208258 0.0115699 0.0073684 0.003167 0.000853 0.003167 0 0.0012795 0.0004265 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 10 4 0 1 1123 0 0 0 0 0 0 0.0118118 0.0274513 0.0381586 0.0649103 0.1444313 0.2242645 0.1293061 0.0999073 0.0299722 0.0266419 0.0466234 0.0366326 0.0366326 0.0199814 0.0299722 0.0166512 0.013321 0.0033302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 10 4 0 1 724 0 0 0 0 0 0 0.0029118 0.0087353 0.0279485 0.041338 0.0824007 0.1330022 0.2235197 0.1863531 0.170625 0.0736655 0.0232941 0.0087353 0.0029118 0.0087353 0 0 0.0029118 0.0029118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 10 4 0 1 949 0 0 0 0 0 0 0.0771584 0.1785867 0.0963255 0.087295 0.0808475 0.0721 0.1076816 0.1299779 0.0756816 0.0359523 0.0146361 0.0212157 0.0079559 0.0079559 0.003978 0.001326 0 0.001326 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 10 4 0 1 268 0 0 0 0 0 0 0 0.0001716 0.1241205 0.0624035 0.0014873 0.0022881 0.1897845 0.1249213 0.0621175 0.0001716 0.0618314 0.1235485 0.0617742 5.72e-05 0 0.0617742 0 0.1235485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 10 4 0 1 431 0 0 0 0 0 0 0.0028552 0.0259201 0.0314401 0.1356914 0.0403864 0.0945106 0.121159 0.1835673 0.2502875 0.0686236 0.0455587 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 4 5 0 2 21 0 0 0 0 0 0 0 0 0.0060216 0.1170035 0.0336054 0.0400238 0.0061445 0.1115608 0.0302828 0 0.0302828 0.2277864 0.0302828 0.2073394 0.0492318 0.0431041 0 0.0370476 0.0302828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 4 5 0 2 44 0 0 0 0 0 0 0 0 0.0062237 0.0030187 0.1087161 0.3091331 0.012261 0.0238456 0.2076949 0.120273 0.0749292 0.0217267 0 0.0153204 0.052671 0 0 0.0379629 0.0062237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 4 5 0 2 21 0 0 0 0 0 0 0 0.0006702 0 0.0022264 0.0424333 0.1972745 0.1952639 0 0.0034406 0.0006702 0.1389193 0.125059 0.1095323 0.1072632 0.0772472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 4 5 0 2 10 0 0 0 0 0 0 0 0 0 0 0.1071662 0.0940595 0.4128439 0 0 0.1753239 0.1367562 0.0710563 0.002794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 4 5 0 2 52 0 0 0 0 0 0 0 0 0 0.0685479 0.1552838 0.1848281 0.2273347 0.0384806 0.0508383 0.1062214 0.0682274 0.0255907 0.0554743 0.0113166 0 0.0078564 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 4 5 0 2 10 0 0 0 0 0 0 0 0.0779979 0 0.0779979 0.1193051 0.082103 0.1929421 0 0.0184314 0.0903133 0.1190494 0.0615773 0 0 0.0697876 0 0 0 0.090495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 4 5 0 2 18 0 0 0 0 0 0 0 0 0.0270768 0.1189398 0.0437255 0 0.1095228 0.1284535 0.1633309 0.1885529 0 0 0.1175574 0.0378335 0.0487157 0.0039721 0.0123192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1989 4 5 0 2 29 0 0 0 0.0288048 0 0 0 0 0.0036143 0.0539067 0.0940645 0.1578661 0.2278017 0.1868311 0.0275226 0.0836308 0.0073339 0.0058258 0 0.0989381 0.0209469 0 0.0029129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1990 4 5 0 2 96 0 0 0 0 0 0 0 0 0 0.0134314 0.0541378 0.0714007 0.1665243 0.1708937 0.1721691 0.114534 0.0819252 0.075872 0 0.0368247 0 0 0.042287 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1991 4 5 0 2 26 0 0 0 0 0 0 0.0255429 0 0.0651546 0 0.1215041 0.0677665 0.0451027 0.0853878 0.0752048 0.093616 0.237749 0.0306933 0.0049536 0.1391673 0.0049536 0.0032037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1992 4 5 0 2 12 0 0 0 0 0 0 0 0 0 0.0035925 0.1092281 0.1067807 0.1003365 0 0.1031882 0 0.0029291 0 0 0.0611488 0.4211317 0.0064442 0.0852203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1993 4 5 0 2 19 0 0 0 0 0 0 0 0 0.2318602 0.1415217 0.0998233 0 0.099937 0 0.041871 0 0.0486517 0.0789016 0.0574769 0.0678343 0 0 0.1321224 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1994 4 5 0 2 7 0 0 0 0 0 0 0 0 0.1240884 0 0 0.4089571 0.1331169 0.0757321 0.0809053 0 0.1240884 0.0531118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 4 5 0 1 25 0 0 0 0 0 0 0.04329 0.3290043 0.4978355 0.1255411 0 0.004329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1995 4 5 0 2 12 0 0 0 0 0 0 0 0.0400731 0.1202194 0.4044246 0.1046978 0 0.2677647 0.006506 0.0126635 0 0 0.0035777 0.0400731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 4 5 0 1 25 0 0 0 0 0 0 0.0114286 0.1942857 0.2914286 0.4514286 0 0.0285714 0.0114286 0.0057143 0 0.0057143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1996 4 5 0 2 16 0 0 0 0 0 0 0 0 0 0.1995605 0 0.0102581 0 0.1623503 0.0285072 0.1414803 0.2130164 0.1270644 0 0 0 0 0.1177626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 4 5 0 1 25 0 0 0 0 0 0 0.0184615 0.1907692 0.4584615 0.3138462 0 0.0123077 0.0061538 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1997 4 5 0 2 17 0 0 0 0 0 0 0 0.0042442 0 0.2200022 0.2420051 0.0589473 0.0483442 0.0912711 0.0960142 0.1623432 0.0266252 0.023578 0.0266252 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 4 5 0 1 25 0 0 0 0 0 0 0.015873 0.0634921 0.1746032 0.6349206 0 0.0952381 0.015873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1998 4 5 0 2 8 0 0 0 0 0 0 0 0 0 0.0978253 0.126792 0 0.1464358 0 0 0.126792 0.3314742 0.147238 0.0234426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 4 5 0 1 25 0 0 0 0 0 0 0.0044643 0.1205357 0.3571429 0.4508929 0 0.0580357 0.0044643 0 0 0.0044643 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 4 5 0 2 24 0 0 0 0 0 0 0 0 0.0600884 0 0.1968262 0.1307523 0.1201767 0.1297725 0.1002923 0.1516883 0.0003441 0.0004675 0.0004452 0.000487 0.1045496 0 0.0002784 0.0038316 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 4 5 0 2 23 0 0 0 0 0 0 0 0 0 0 0 0.0417104 0.0788111 0.1208354 0.1121293 0.3774952 0.0248307 0.1321512 0.0126719 0.0044215 0.0541229 0 0.0089925 0.0039097 0.0279182 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 4 5 0 1 25 0 0 0 0 0 0 0 0 0.25 0.5 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 4 5 0 2 46 0 0 0 0 0 0 0 0 0 0 0.0045351 0.0001958 0.0051116 0.0173401 0.1779273 0.1838864 0.1166145 0.0863255 0.1429436 0.0612599 0.0504416 0.0500515 0.0351664 0.0539144 0.0142862 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 4 5 0 2 78 0 0 0 0 0 0 0 0 0 0 0 0 0.0151995 0.1365588 0.16632 0.1195602 0.068001 0.1744698 0.0582606 0.0499193 0.0716611 0.0346534 0.0192921 0.0768496 0 0.0092547 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 4 5 0 2 115 0 0 0 0 0 0 0 0 0 0 0 0 0.000101 0.1041135 0.1060247 0.1763182 0.0490306 0.1648164 0.2012111 0.0126598 0.0310611 0.0522461 0.0440037 0.0427218 4.83e-05 0.0156437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 4 5 0 1 5 0 0 0 0 0 0 0 0 0 0 0.0961829 0.1997017 0.4333995 0.2688656 0.0018503 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2004 4 5 0 2 52 0 0 0 0 0 0 0 0 0 0 0 0.002736 0.0002004 0.0682325 0.1551246 0.2512002 0.0938993 0.1345874 0.1021976 0.0200768 0.0062405 0.0510067 0.0574284 0.0278603 0.0292094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2005 4 5 0 2 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0001931 0.0441645 0.0244427 0.0340734 0.0931941 0.1507521 0.1413485 0.0535682 0.1600987 0.1135783 0.1389923 0.0455941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 4 5 0 1 8 0 0 0 0 0 0 0 0 0 0 0.3694883 0.4684577 0.0804252 0.0816288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2006 4 5 0 2 32 0 0 0 0 0 0 0 0 0 0 0 0.0009452 0 0.0037104 0.0632239 0.0391671 0.1238136 0.124365 0.0400078 0.0146905 0.0035775 0.0245065 0.0130764 0.1233438 0.0595336 0.3660386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 4 5 0 1 13 0 0 0 0 0 0 0 0.0030756 0.0697743 0.2046555 0.4259593 0.1542807 0.0442444 0.0481332 0.0121232 0.0135074 0.0121232 0 0.0121232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2007 4 5 0 2 39 0 0 0 0 0 0 0 0 0 0.0107992 0.0020657 0.0513909 0.0024494 0.1355234 0.0585486 0.191511 0.2057814 0.0708763 0.0815894 0.0218569 0.0801144 0 0.0103714 0.0669028 0.0102192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 4 5 0 1 1 0 0 0 0 0 0 0 0.0073871 0.0612157 0.1565762 0.2598639 0.2674243 0.1686144 0.0763971 0.0025213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2008 4 5 0 2 49 0 0 0 0 0 0 0 0 0 0 0 0.001883 0.0032199 0.1198716 0.0480545 0.047345 0.1634968 0.0899636 0.0785677 0.1330841 0.1805799 0.0871701 0.0459056 0.0001673 0.000691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 4 5 0 1 1 0 0 0 0 0 0 0 0.0055493 0.0242516 0.0511547 0.2016416 0.2335346 0.1492362 0.2964473 0.0381846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2009 4 5 0 2 66 0 0 0 0 0 0 0 0 0 0 0 0.0005649 0.000269 0.0200304 0.0480873 0.0723946 0.1610768 0.0593518 0.341335 0.0606776 0.0011775 0.1073009 0.1104562 0.0167096 0.0005685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 4 5 0 1 1 0 0 0 0 0 0 0.0081891 0.0018736 0.0153762 0.0995912 0.1340493 0.1948421 0.2415228 0.2464259 0.0336712 0 0.0107983 0.0120751 0 6.32e-05 0 0.0015219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2010 4 5 0 2 73 0 0 0 0 0 0 0 0 0 0 0 0 0.0014197 0.0036084 0.0440536 0.16691 0.155908 0.1102796 0.1464619 0.1622212 0.0032737 0.0122057 0.0796197 0.1088579 0.0051805 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 4 5 0 1 1 0 0 0 0 0 0.0179131 0.0088718 0.0239406 0.0393684 0.0662801 0.1214802 0.0749107 0.0610744 0.1335632 0.2152486 0.1811587 0.0325999 0.0211715 0 0 0.0024187 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2011 4 5 0 2 37 0 0 0 0 0 0 0 0 0 0 0.0012692 0 0.0010627 0.000473 0.109956 0.0428713 0.1722317 0.046239 0.0124041 0.006375 0.2375924 0.0064161 0.1174652 0.2298006 0.0158436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2012 4 5 0 1 1 0 0 0 0 0.0042734 0.0042734 0.008041 0.0030116 0.0090664 0.0517018 0.1094725 0.2090898 0.1490877 0.1122643 0.1060981 0.147058 0.0682172 0.0143876 0.0026053 0.0004275 0.0002517 0 0.0002178 0.0002858 0 0.0001693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2012 4 5 0 2 87 0 0 0 0 0 0 0 0 0 0 0 0.000367 0 0.0002838 0.0031113 0.0382953 0.0562077 0.0718894 0.1263021 0.0265885 0.2197533 0.0261581 0.0814829 0.3412499 0.0075947 0.0001863 0.0005299 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2013 4 5 0 1 23 0 0 0 0 0 0 0 0.0069934 0.0733445 0.1145168 0.1418919 0.0702343 0.0394502 0.085383 0.1756619 0.1314295 0.0975751 0.0237362 0.0215919 0.0179048 0.0001432 0.0001432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2013 4 5 0 2 66 0 0 0 0 0 0 0 0 0.0007524 0 0.0045719 0.0345029 0.0196808 0.0064495 0.0247578 0.0569485 0.1166255 0.0756521 0.1009922 0.1010632 0.0557671 0.1089748 0.1106963 0.1749486 0.0076163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2014 4 5 0 1 27 0 0 0 0 0 0 0 0 0 0.0292679 0.0266294 0.0779359 0.1957031 0.3285926 0.2178775 0.0973947 0.0227139 0.0003948 0.0015638 0.0009632 0.0003948 0 0.0005684 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2014 4 5 0 2 73 0 0 0 0 0 0 0 0 0 0 0 0.0004265 0.0016054 0.0119851 0.0188368 0.0307431 0.0362676 0.027295 0.1400132 0.0260921 0.0447619 0.1267519 0.084976 0.1744977 0.2200406 0.0557071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2015 4 5 0 1 27 0 0 0 0 0 0 0 0 0 0.012341 0.0233206 0.0272524 0.1185565 0.1623293 0.2498041 0.2056672 0.0684752 0.0551871 0.0280784 0.0089307 0.0249294 0 0.00833 0.006798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2015 4 5 0 2 129 0 0 0 0 0 0 0 0 0 0 0.0001146 3.98e-05 0.006103 0.0003364 0.0076473 0.0301867 0.0979419 0.1270208 0.1298152 0.096654 0.0993265 0.089477 0.107621 0.1761867 0.0314986 3.05e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2016 4 5 0 1 46 0 0 0 0 0.0023983 0.0064365 0 0.0023983 0.0102258 0.024725 0.0308311 0.0474139 0.0478127 0.0478113 0.0962358 0.1446096 0.2340917 0.1285544 0.0759005 0.0418002 0.0247682 0.0098072 0.0085211 0.0122763 0.0033821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2016 4 5 0 2 147 0 0 0 0 0.008749 0 0 0 0 0.0002183 0 0 0 3.58e-05 0.0043296 0.0033108 0.0431823 0.1275158 0.2056332 0.1184387 0.1102389 0.1223074 0.0663894 0.1551567 0.0344941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 4 5 0 1 40 0 0 0 0.0001457 0.0046363 0.0046363 0 0.0200344 0.0313287 0.0936409 0.0816178 0.0675087 0.0388807 0.069555 0.0946567 0.1062834 0.1409647 0.1313735 0.0534747 0.0299169 0.0140334 0.0116107 8.42e-05 0.0056171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2017 4 5 0 2 133 0 0 0 0 0 0 0 0 0.0008603 0.0001852 0 0.0003985 0.0021898 0.0191206 0.0117554 0.0028298 0.0165014 0.1045604 0.1618946 0.1403656 0.0642939 0.0979219 0.0692844 0.1962709 0.1115674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 4 5 0 1 24 0 0 0 0 0 0 0 0 0.014692 0.0796161 0.0958298 0.1500754 0.2553944 0.1547384 0.116549 0.0378343 0.0239871 0.0486821 0.0060043 0.0031384 0.0109582 0.0017986 0.0001883 0.0005138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018 4 5 0 2 159 0 0 0 0 0 0 0 0 0 0 0.0002808 0 0.0008557 0.0078555 0.0020476 0 0.0039262 0.0654636 0.105929 0.1066054 0.0866966 0.1190811 0.1496468 0.2556008 0.0913843 0.0043697 0.0002568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 4 5 0 1 16 0 0 0 0 0 0.0050624 0 0 0.006733 0.0124262 0.0764362 0.0928937 0.1172559 0.1749859 0.1803057 0.1783368 0.0800242 0.0325632 0.0127082 0.0133601 0.0125279 0.0036075 0.0003538 0.0002982 5.11e-05 6.99e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2019 4 5 0 2 194 0 0 0 0 0 0 0 0 0 0 5.05e-05 0 0 0.0003803 0.0002869 0.0040748 0.0605363 0.0784028 0.144142 0.058776 0.1389888 0.1315355 0.1183924 0.1881757 0.0683578 0.0079003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 4 5 0 1 28 0 0 0 0 0.0001241 0.0060205 0.004334 0.0130342 0.0448391 0.0336858 0.0580431 0.0817772 0.0855348 0.0932967 0.0864111 0.1599627 0.1440313 0.0668238 0.0156097 0.0088927 0.0526753 0.0120171 0.0089543 0.0162636 0.0076545 1.42e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2020 4 5 0 2 343 0 0 0 0 0 0 0 0 0 0 7.02e-05 0 0.0002001 0.0001133 0.002934 0.0088068 0.0176095 0.0981725 0.0702306 0.090073 0.0703629 0.1154005 0.1190765 0.2778586 0.1104616 0.0006339 0.017996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 4 5 0 1 20 0 0 0 0 0.0002321 0.0061487 0.0092231 0.0215226 0.0512339 0.0409577 0.0644695 0.0974613 0.0904334 0.0879469 0.0852562 0.1556302 0.1323562 0.0653894 0.0095597 0.0013603 0.0406586 0.0089689 0.0068006 0.0156662 0.0086591 6.53e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2021 4 5 0 2 342 0 0 0 0 0 0 0 0 8.1e-05 0.0002046 0.0001536 0.0004425 0.0104504 0.0107298 0.0095507 0.0562028 0.0361155 0.0774501 0.1106925 0.0856831 0.160323 0.1786783 0.1378005 0.100813 0.0246286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1982 4 6 0 2 58 0 0 0 0 0 0 0.0141796 0.062278 0.2372702 0.2578922 0.1662709 0.1092259 0.0907226 0.0092844 0.0078142 0.0293394 0.0034664 0.0042132 0.0035317 0.0019904 0.0011072 0.0010933 0.0003204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1983 4 6 0 2 59 0 0 0 0 0 0 0 0.0312517 0.0187243 0.0031931 0.0732362 0.1215015 0.1069336 0.0992883 0.0517786 0.099683 0.2670667 0.0050146 0.00519 0.0014352 0.0684701 0.0436586 0.0035744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1984 4 6 0 2 65 0 0 0 0 0 0 0.0153295 0.0448764 0.0403688 0.0616986 0.1627934 0.1180063 0.0957075 0.1529488 0.1852662 0.0601246 0.014407 0.0317036 0.0046197 0.0048507 0.0035498 0 0.003749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1985 4 6 0 2 119 0 0 0 0 0.0022059 0 0.0099813 0.0536139 0.021698 0.0748527 0.0679186 0.0759085 0.0883556 0.0221638 0.0750286 0.0340533 0.1502141 0.1064378 0.1285957 0.0482224 0.020774 0.0130853 0.0022844 0.0018061 0.0028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1986 4 6 0 2 295 0 0 0 0 0 0 0.0007354 0.0077163 0.0372912 0.0305647 0.5276093 0.0751931 0.0216559 0.2642914 0.0136216 0.0066256 0.0033817 0.0038632 0.0002189 0.0015803 0.003039 0.0001493 0.001323 0.0007879 0.000342 1.04e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1987 4 6 0 2 63 0 0 0 0 0 0 0.0186492 0.0705013 0.0216463 0.1099817 0.2425354 0.1089215 0.1025069 0.1225603 0.049413 0.0615624 0.0024649 0.0624092 0 0.003319 0.0040485 0.0128326 0.0029611 0 0 0.0036867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1988 4 6 0 2 46 0 0 0 0 0.0025621 0 0 0.0001451 0.000623 0.0880632 0.2265198 0.1229862 0.111949 0.0471643 0.0884405 0.1033046 0.0305014 0.1183865 0.0387085 0.0027175 0.0120598 0.0058685 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
