#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
15 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
2000 2 3 184 0.01
2001 2 3 256 0.01
2002 2 3 318 0.01
2003 2 3 236 0.01
2004 2 3 253 0.01
2005 2 3 276 0.01
2006 2 3 276 0.01
2007 2 3 262 0.01
2008 2 3 163 0.01
2009 2 3 75 0.01
2010 2 3 123 0.01
2011 2 3 189 0.01
2012 2 3 121 0.01
2013 2 3 314 0.01
2014 2 3 316 0.01
2015 2 3 401 0.01
2016 2 3 424 0.01
2017 2 3 822 0.01
2018 2 3 630 0.01
2019 2 3 650 0.01
2020 2 3 877 0.01
2021 2 3 799 0.01
#_South_Trawl_2
1989 2 4 220 0.01
1990 2 4 379 0.01
1991 2 4 517 0.01
1992 2 4 499 0.01
1993 2 4 359 0.01
1994 2 4 224 0.01
1995 2 4 340 0.01
1996 2 4 375 0.01
1997 2 4 406 0.01
1998 2 4 306 0.01
1999 2 4 367 0.01
2000 2 4 190 0.01
2001 2 4 121 0.01
2002 2 4 176 0.01
2003 2 4 270 0.01
2004 2 4 291 0.01
2005 2 4 239 0.01
2006 2 4 307 0.01
2007 2 4 230 0.01
2008 2 4 183 0.01
2009 2 4 88 0.01
2010 2 4 128 0.01
2011 2 4 145 0.01
2012 2 4 121 0.01
2013 2 4 196 0.01
2014 2 4 175 0.01
2015 2 4 125 0.01
2016 2 4 125 0.01
2017 2 4 201 0.01
2018 2 4 142 0.01
2019 2 4 192 0.01
2020 2 4 218 0.01
2021 2 4 263 0.01
###############################################
##  Recreational Catch Data
###############################################
1989	1	5	203	0.611
1990	1	5	76	0.438
1991	1	5	72	0.443
1992	1	5	3	0.564
1993	1	5	35	0.33
1994	1	5	24	0.579
1995	1	5	47	0.509
1996	1	5	7	0.384
1997	1	5	58	0.564
1998	1	5	4	0.453
1999	1	5	75	0.589
2000	1	5	103	0.455
2001	1	5	101	0.299
2002	1	5	521	0.365
2003	1	5	207	0.354
2004	1	5	134	0.266
2005	1	5	197	0.523
2006	1	5	124	0.439
2007	1	5	192	0.228
2008	1	5	216	0.332
2009	1	5	471	0.313
2010	1	5	1255	0.518
2011	1	5	293	0.339
2012	1	5	878	0.238
2013	1	5	300	0.261
2014	1	5	576	0.409
2015	1	5	601	0.252
2016	1	5	586	0.258
2017	1	5	510	0.214
2018	1	5	641	0.23
2019	1	5	454	0.231
2020	1	5	517	0.228
2021	1	5	1526	0.224
1989	2	7	989	0.195
1990	2	7	502	0.274
1991	2	7	277	0.185
1992	2	7	166	0.178
1993	2	7	252	0.21
1994	2	7	475	0.255
1995	2	7	161	0.273
1996	2	7	192	0.284
1997	2	7	357	0.344
1998	2	7	123	0.244
1999	2	7	256	0.257
2000	2	7	651	0.199
2001	2	7	578	0.19
2002	2	7	479	0.272
2003	2	7	602	0.17
2004	2	7	358	0.192
2005	2	7	389	0.349
2006	2	7	635	0.268
2007	2	7	697	0.167
2008	2	7	618	0.197
2009	2	7	1501	0.216
2010	2	7	1648	0.206
2011	2	7	895	0.207
2012	2	7	1163	0.214
2013	2	7	1650	0.173
2014	2	7	2570	0.136
2015	2	7	3685	0.13
2016	2	7	4354	0.139
2017	2	7	3313	0.265
2018	2	7	1976	0.09
2019	2	7	2682	0.096
2020	2	7	2358	0.088
2021	2	7	1964	0.099
1989	1	6	1471	0.508
1990	1	6	1428	0.34
1991	1	6	1595	0.209
1992	1	6	1669	0.189
1993	1	6	1682	0.35
1994	1	6	429	0.333
1995	1	6	1170	0.228
1996	1	6	693	0.452
1997	1	6	2479	0.199
1998	1	6	760	0.295
1999	1	6	628	0.479
2000	1	6	1150	0.236
2001	1	6	900	0.304
2002	1	6	1931	0.196
2003	1	6	1421	0.239
2004	1	6	330	0.327
2005	1	6	150	0.26
2006	1	6	466	0.277
2007	1	6	566	0.289
2008	1	6	286	0.252
2009	1	6	960	0.242
2010	1	6	242	0.3
2011	1	6	282	0.31
2012	1	6	465	0.316
2013	1	6	188	0.533
2014	1	6	209	0.313
2015	1	6	280	0.245
2016	1	6	340	0.247
2017	1	6	779	0.333
2018	1	6	593	0.204
2019	1	6	573	0.208
2020	1	6	567	0.179
2021	1	6	1507	0.178
1989	2	8	4000	0.111
1990	2	8	3114	0.213
1991	2	8	4214	0.146
1992	2	8	2861	0.15
1993	2	8	5136	0.345
1994	2	8	3256	0.306
1995	2	8	5499	0.163
1996	2	8	6304	0.209
1997	2	8	3666	0.253
1998	2	8	671	0.161
1999	2	8	686	0.274
2000	2	8	2360	0.163
2001	2	8	2696	0.258
2002	2	8	1646	0.178
2003	2	8	1853	0.14
2004	2	8	1527	0.26
2005	2	8	1266	0.218
2006	2	8	577	0.194
2007	2	8	683	0.212
2008	2	8	1337	0.411
2009	2	8	989	0.229
2010	2	8	1962	0.365
2011	2	8	318	0.215
2012	2	8	1188	0.24
2013	2	8	887	0.277
2014	2	8	623	0.19
2015	2	8	378	0.249
2016	2	8	563	0.239
2017	2	8	1104	0.19
2018	2	8	786	0.196
2019	2	8	675	0.185
2020	2	8	794	0.165
2021	2	8	1447	0.185
-9999 0 0 0 0

#CPUE settings
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet Units Errtype SD_Report
1 1 0 0
2 1 0 0
3 1 0 0
4 1 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 31 -1 0

#CPUE   ## GF: note check What the REC CPUE refers to - if kept only then needs to be tied to the fishing fleet and not its own survey # 

#_year seas index obs se(log)   
###############################################
##  Survey Index Data
###############################################
#_RecCPUE_N_fall				
1981	10	13	0.23691	0.094
1982	10	13	0.27029	0.085
1983	10	13	0.19164	0.081
1984	10	13	0.2197	0.084
1985	10	13	0.3152	0.085
1986	10	13	0.78761	0.046
1987	10	13	0.39507	0.073
1988	10	13	0.24111	0.059
1989	10	13	0.51112	0.04
1990	10	13	0.24915	0.046
1991	10	13	0.25089	0.042
1992	10	13	0.2693	0.042
1993	10	13	0.21705	0.053
1994	10	13	0.48033	0.051
1995	10	13	0.45469	0.06
1996	10	13	0.55177	0.056
1997	10	13	0.60129	0.058
1998	10	13	0.35313	0.064
1999	10	13	1.19625	0.049
2000	10	13	1.13847	0.045
2001	10	13	0.71118	0.041
2002	10	13	1.25064	0.04
2003	10	13	0.69697	0.038
2004	10	13	0.60526	0.047
2005	10	13	0.57381	0.05
2006	10	13	1.21898	0.041
2007	10	13	1.16636	0.039
2008	10	13	1.33903	0.04
2009	10	13	1.91245	0.041
2010	10	13	1.94035	0.038
2011	10	13	1.38302	0.044
2012	10	13	4.06714	0.035
2013	10	13	2.54187	0.032
2014	10	13	3.20133	0.033
2015	10	13	2.69297	0.029
2016	10	13	3.11586	0.027
2017	10	13	3.49286	0.026
2018	10	13	2.90467	0.025
2019	10	13	3.34468	0.023
2020	10	13	3.30485	0.022
2021	10	13	3.47809	0.023
#_RecCPUE_S_fall				
1981	10	14	1.98083	0.059
1982	10	14	2.5072	0.063
1983	10	14	1.93347	0.05
1984	10	14	1.51392	0.058
1985	10	14	3.42654	0.036
1986	10	14	4.91732	0.03
1987	10	14	2.52392	0.045
1988	10	14	2.52821	0.042
1989	10	14	3.15652	0.029
1990	10	14	4.00076	0.029
1991	10	14	3.81052	0.026
1992	10	14	4.08467	0.028
1993	10	14	3.4427	0.035
1994	10	14	3.10804	0.031
1995	10	14	5.14774	0.032
1996	10	14	3.89178	0.034
1997	10	14	4.27143	0.032
1998	10	14	3.91493	0.034
1999	10	14	3.80139	0.034
2000	10	14	6.49605	0.03
2001	10	14	5.36189	0.027
2002	10	14	6.12713	0.027
2003	10	14	5.29998	0.027
2004	10	14	4.91577	0.029
2005	10	14	4.09309	0.029
2006	10	14	3.9267	0.033
2007	10	14	3.86408	0.029
2008	10	14	3.85544	0.028
2009	10	14	3.80941	0.03
2010	10	14	3.80868	0.03
2011	10	14	3.14967	0.033
2012	10	14	4.52055	0.032
2013	10	14	2.8107	0.032
2014	10	14	3.50159	0.031
2015	10	14	3.64796	0.032
2016	10	14	4.07354	0.029
2017	10	14	4.21423	0.027
2018	10	14	4.03683	0.027
2019	10	14	5.05264	0.026
2020	10	14	4.79226	0.023
2021	10	14	4.94983	0.024#_VAST_N_spr				
1989	4	9	50.12255	0.397
1990	4	9	19.41286	0.434
1991	4	9	17.89677	0.384
1992	4	9	16.16738	0.342
1993	4	9	8.95217	0.361
1994	4	9	21.8042	0.339
1995	4	9	27.45994	0.256
1996	4	9	54.47248	0.295
1997	4	9	42.0789	0.264
1998	4	9	13.50463	0.309
1999	4	9	43.66593	0.236
2000	4	9	169.02598	0.204
2001	4	9	95.00568	0.217
2002	4	9	145.19195	0.167
2003	4	9	82.85846	0.236
2004	4	9	52.1061	0.199
2005	4	9	34.009	0.298
2006	4	9	75.02847	0.215
2007	4	9	98.77222	0.184
2008	4	9	121.61809	0.245
2009	4	9	203.26486	0.203
